iter	RMSE
0	8.971469547
1	8.424197195
2	7.91881006
3	7.453830786
4	7.033780611
5	6.649983486
6	6.294738981
7	5.97084483
8	5.678780513
9	5.391284377
10	5.142402385
11	4.909946759
12	4.683184674
13	4.485488686
14	4.295238966
15	4.113899753
16	3.961749117
17	3.813617144
18	3.678193244
19	3.563045728
20	3.453291178
21	3.358454088
22	3.275234026
23	3.203049936
24	3.124623528
25	3.051252069
26	2.986860324
27	2.940569093
28	2.882563699
29	2.834430205
30	2.801850476
31	2.76693916
32	2.730353461
33	2.687316075
34	2.660583842
35	2.631308017
36	2.608060536
37	2.575085178
38	2.552309662
39	2.532790142
40	2.512449906
41	2.496610173
42	2.475963523
43	2.458254788
44	2.44411443
45	2.432907339
46	2.425054259
47	2.414972138
48	2.402338194
49	2.39420187
50	2.384535422
51	2.373864865
52	2.361581075
53	2.348984073
54	2.342835219
55	2.337229871
56	2.327576058
57	2.318613485
58	2.307234533
59	2.299613759
60	2.292080564
61	2.286105136
62	2.280071467
63	2.273190597
64	2.264375152
65	2.258825689
66	2.255375759
67	2.249355496
68	2.243144536
69	2.234949275
70	2.231668944
71	2.226453516
72	2.221219408
73	2.2099417
74	2.204830753
75	2.200859115
76	2.197653447
77	2.192438694
78	2.187999838
79	2.184998338
80	2.180173763
81	2.169383935
82	2.161449031
83	2.156112151
84	2.151902033
85	2.147681643
86	2.145379624
87	2.140286411
88	2.135332039
89	2.130258995
90	2.129070545
91	2.1220981
92	2.113635799
93	2.108832525
94	2.10266225
95	2.098721512
96	2.095025535
97	2.091554591
98	2.087215502
99	2.080798435
100	2.075688543
101	2.069444761
102	2.065283078
103	2.062474011
104	2.059387376
105	2.056558155
106	2.051286761
107	2.047549494
108	2.042464708
109	2.040307268
110	2.037314254
111	2.033341179
112	2.031406835
113	2.028050998
114	2.025079703
115	2.020021129
116	2.014972619
117	2.008109914
118	2.001489267
119	1.99817026
120	1.994707455
121	1.991952118
122	1.989062829
123	1.985932125
124	1.983147981
125	1.979017622
126	1.975442285
127	1.971908492
128	1.966622211
129	1.95916116
130	1.954887923
131	1.951122301
132	1.948121652
133	1.945430849
134	1.940254866
135	1.936154684
136	1.932767665
137	1.927702467
138	1.925074398
139	1.92020613
140	1.915699415
141	1.913379896
142	1.910076589
143	1.906844734
144	1.904187599
145	1.901505228
146	1.898266033
147	1.89423862
148	1.89106041
149	1.886566192
150	1.882048736
151	1.878407907
152	1.874799259
153	1.872858991
154	1.869150695
155	1.864563699
156	1.860863608
157	1.858467469
158	1.855024664
159	1.851879042
160	1.848621605
161	1.846465822
162	1.842603225
163	1.838235111
164	1.83623027
165	1.834147352
166	1.831192923
167	1.829633384
168	1.827315911
169	1.822747111
170	1.82019132
171	1.815764522
172	1.811803597
