iter	Passed	Remaining
0	2	2080
1	4	1894
2	6	1846
3	8	1790
4	10	1770
5	12	1741
6	14	1713
7	16	1731
8	18	1719
9	20	1706
10	22	1697
11	24	1702
12	26	1696
13	28	1686
14	29	1672
15	32	1699
16	34	1692
17	36	1686
18	38	1681
19	40	1683
20	42	1681
21	44	1672
22	46	1684
23	48	1683
24	50	1678
25	52	1671
26	54	1669
27	56	1668
28	58	1662
29	60	1655
30	62	1665
31	64	1662
32	66	1658
33	68	1654
34	70	1651
35	72	1649
36	74	1642
37	75	1632
38	78	1635
39	80	1634
40	82	1631
41	84	1631
42	86	1628
43	88	1625
44	90	1621
45	91	1616
46	94	1624
47	96	1620
48	98	1619
49	100	1616
50	102	1613
51	104	1610
52	106	1606
53	107	1601
54	110	1604
55	112	1601
56	114	1609
57	116	1606
58	118	1602
59	120	1599
60	122	1594
61	124	1594
62	127	1604
63	129	1601
64	131	1597
65	133	1594
66	135	1593
67	137	1588
68	139	1584
69	141	1587
70	143	1585
71	145	1582
72	147	1579
73	149	1576
74	151	1574
75	153	1570
76	155	1566
77	157	1568
78	159	1567
79	161	1564
80	163	1561
81	165	1558
82	167	1556
83	169	1552
84	170	1548
85	173	1555
86	175	1551
87	177	1549
88	179	1547
89	181	1546
90	183	1542
91	185	1539
92	188	1542
93	190	1541
94	192	1538
95	194	1536
96	196	1533
97	198	1532
98	200	1529
99	202	1526
100	205	1531
101	207	1529
102	209	1526
103	211	1524
104	213	1522
105	215	1519
106	217	1516
107	219	1517
108	221	1518
109	223	1515
110	225	1513
111	227	1510
112	229	1508
113	231	1504
114	233	1499
115	235	1502
116	237	1500
117	239	1498
118	241	1496
119	243	1493
120	245	1491
121	247	1488
122	249	1484
123	251	1484
124	253	1482
125	255	1479
126	257	1476
127	259	1474
128	261	1471
129	263	1468
130	265	1464
131	267	1465
132	269	1463
133	271	1460
134	273	1458
135	275	1456
136	277	1454
137	279	1450
138	280	1447
139	283	1448
140	285	1445
141	287	1442
142	289	1440
143	291	1437
144	293	1435
145	294	1432
146	296	1429
147	299	1429
148	301	1426
149	303	1426
150	305	1424
151	307	1421
152	309	1419
153	311	1416
154	313	1413
155	315	1413
156	317	1411
157	319	1410
158	321	1408
159	323	1406
160	325	1403
161	327	1400
162	329	1398
163	331	1398
164	333	1395
165	335	1393
166	337	1391
167	339	1388
168	341	1385
169	343	1382
170	345	1382
171	347	1380
172	349	1378
173	351	1376
174	353	1374
175	355	1372
176	357	1369
177	359	1366
178	362	1367
179	364	1365
180	366	1363
181	368	1361
182	370	1360
183	372	1357
184	374	1355
185	376	1354
186	378	1352
187	380	1350
188	382	1347
189	384	1345
190	386	1343
191	388	1341
192	390	1338
193	392	1337
194	394	1336
195	396	1333
196	398	1331
197	400	1329
198	402	1327
199	404	1324
200	406	1322
201	409	1324
202	411	1322
203	413	1320
204	415	1317
205	417	1315
206	419	1312
207	421	1310
208	423	1309
209	425	1307
210	427	1305
211	429	1302
212	431	1300
213	433	1297
214	435	1295
215	437	1293
216	439	1292
217	441	1291
218	443	1288
219	445	1286
220	447	1284
221	449	1282
222	451	1280
223	453	1277
224	456	1277
225	458	1275
226	460	1273
